3276,0,0
3262.1,0,0
3248.3,0,0
3234.6,0,0
3221.1,0,0
3207.6,0,0
3194.3,0,0
3181,0,0
3167.9,0,0
3154.9,0,0
3142,0,0
3129.2,0,0
3116.5,0,0
3103.9,0,0
3091.4,0,0
3079,0,0
3066.7,0,0
3054.5,0,0
3042.4,0,0
3030.4,0,0
3018.5,0,0
3006.7,0,0
2995,0,0
2983.3,0,0
2971.8,0,0
2960.3,0,0
2949,0,0
2937.7,0,0
2926.5,0,0
2915.4,0,0
2904.4,0,0
2893.4,0,0
2882.6,0,0
2871.8,0,0
2861.1,0,0
2850.5,0,0
2839.9,0,0
2829.5,0,0
2819.1,0,0
2808.8,0,0
2798.5,0,0
2788.4,0,0
2778.3,0,0
2768.3,0,0
2758.3,0,0
2748.4,0,0
2738.6,0,0
2728.9,0,0
2719.3,0,0
2709.7,0,0
2700.1,0,0
2690.7,0,0
2681.3,0,0
2671.9,0,0
2662.7,0,0
2653.5,0,0
2644.3,0,0
2635.3,0,0
2626.3,0,0
2617.3,0,0
2608.4,0,0
2599.6,0,0
2590.8,0,0
2582.1,0,0
2573.5,0,0
2564.9,0,0
2556.3,0,0
2547.8,0,0
2539.4,0,0
2531.1,0,0
2522.7,0,0
2514.5,0,0
2506.3,0,0
2498.1,0,0
2490,0,0
2482,0,0
2474,0,0
2466,0,0
2458.1,0,0
2450.3,0,0
2442.5,0,0
2434.8,0,0
2427.1,0,0
2419.4,0,0
2411.8,0,0
2404.3,0,0
2396.8,0,0
2389.3,0,0
2381.9,0,0
2374.5,0,0
2367.2,0,0
2359.9,0,0
2352.7,0,0
2345.5,0,0
2338.4,0,0
2331.3,0,0
2324.2,0,0
2317.2,0,0
2310.3,0,0
2303.3,0,0
2296.4,0,0
2289.6,0,0
2282.8,0,0
2276,0,0
2269.3,0,0
2262.6,0,0
2256,0,0
2249.4,0,0
2242.8,0,0
2236.3,0,0
2229.8,0,0
2223.3,0,0
2216.9,0,0
2210.5,0,0
2204.2,0,0
2197.9,0,0
2191.6,0,0
2185.4,0,0
2179.2,0,0
2173,0,0
2166.9,0,0
2160.8,0,0
2154.7,0,0
2148.7,0,0
2142.7,0,0
2136.7,0,0
2130.8,0,0
2124.9,0,0
2119,0,0
2113.2,0,0
2107.4,0,0
2101.6,0,0
2095.9,0,0
2090.2,0,0
2084.5,0,0
2078.9,0,0
2073.3,0,0
2067.7,0,0
2062.1,0,0
2056.6,0,0
2051.1,0,0
2045.7,0,0
2040.2,0,0
2034.8,0,0
2029.4,0,0
2024.1,0,0
2018.8,0,0
2013.5,0,0
2008.2,0,0
2003,0,0
1997.8,0,0
1992.6,0,0
1987.4,0,0
1982.3,0,0
1977.2,0,0
1972.1,0,0
1967.1,0,0
1962,0,0
1957,0,0
1952.1,0,0
1947.1,0,0
1942.2,0,0
1937.3,0,0
1932.4,0,0
1927.6,0,0
1922.7,0,0
1917.9,0,0
1913.2,0,0
1908.4,0,0
1903.7,0,0
1899,0,0
1894.3,0,0
1889.6,0,0
1885,0,0
1880.4,0,0
1875.8,0,0
1871.2,0,0
1866.7,0,0
1862.1,0,0
1857.6,0,0
1853.1,0,0
1848.7,0,0
1844.2,0,0
1839.8,0,0
1835.4,0,0
1831.1,0,0
1826.7,0,0
1822.4,0,0
1818,0,0
1813.8,0,0
1809.5,0,0
1805.2,0,0
1801,0,0
1796.8,0,0
1792.6,0,0
1788.4,0,0
1784.3,0,0
1780.1,0,0
1776,0,0
1771.9,0,0
1767.8,0,0
1763.8,0,0
1759.7,0,0
1755.7,0,0
1751.7,0,0
1747.7,0,0
1743.7,0,0
1739.8,0,0
1735.9,0,0
1732,0,0
1728.1,0,0
1724.2,0,0
1720.3,0,0
1716.5,0.00015352,0.46874
1712.6,0.00014019,0.52326
1708.8,0.00016791,0.31401
1705,0.00038294,0.49966
1701.3,0.00073215,0.77877
1697.5,0.00083165,0.84072
1693.8,0.00086197,0.71064
1690,0.0013187,0.7623
1686.3,0.0021545,0.99099
1682.6,0.0027752,1.1218
1678.9,0.0032046,1.1018
1675.3,0.0045085,1.1114
1671.6,0.0065455,1.2346
1668,0.00793,1.3495
1664.4,0.0091143,1.3861
1660.8,0.012892,1.4146
1657.2,0.019635,1.49
1653.6,0.025314,1.5522
1650.1,0.029794,1.5658
1646.5,0.040632,1.5935
1643,0.061451,1.6834
1639.5,0.084201,1.7798
1636,0.10415,1.8321
1632.5,0.13757,1.86
1629.1,0.19862,1.9161
1625.6,0.27017,1.9983
1622.2,0.33144,2.0746
1618.8,0.40935,2.137
1615.4,0.54128,2.2029
1612,0.69568,2.2769
1608.6,0.79897,2.3434
1605.2,0.85767,2.3967
1601.9,0.92511,2.4523
